,actual,predicted
45580,15750,20907.484
51758,36969,54248.312
7278,48000,52981.426
46858,37500,55456.484
13904,41999,26779.225
15020,37900,33376.86
14837,64995,48061.668
18106,95000,62207.004
7979,12000,18669.602
34089,23000,26812.434
1069,14000,42813.746
47800,96850,66676.51
12820,8995,26350.332
42197,76000,58413.65
26680,94500,74501.01
14514,26900,13344.702
52489,30775,32711.936
41649,21000,24198.54
7156,53999,41838.703
42937,31500,43011.703
13592,19500,12685.692
49025,45000,63193.883
24060,20000,14851.061
22046,14900,8914.17
22074,26545,39264.562
25016,42000,48568.043
40136,6880,15643.822
27387,12499,8257.291
23388,66900,72311.38
16240,18900,18555.834
24792,20999,22452.377
29837,12980,17636.95
47011,59999,56050.668
43710,17816,26773.533
40024,46900,66110.75
19565,195000,84202.36
47077,7500,14583.577
39616,89900,63257.203
31100,63500,70168.13
4555,21500,27166.604
20316,11800,14446.883
17848,15995,47743.43
1840,34500,34616.426
51494,65000,63742.34
38794,30490,25285.88
34253,32000,49596.402
30458,43500,41201.812
46973,15999,14295.612
14461,65999,57680.023
11387,17000,30361.393
12210,8500,12119.218
49161,39500,65711.01
52745,28500,26496.447
54229,20000,28743.521
4972,70999,55365.08
45057,47449,45602.598
47480,99750,53927.348
31431,53722,37047.547
37716,9250,9921.764
41399,71999,65996.695
34662,16500,13279.997
21244,49500,49550.785
36149,16750,29644.295
31257,23950,30382.78
41387,45900,72595.14
38628,42000,26314.936
50211,51499,45446.836
33926,15900,10181.078
33052,36000,49660.77
35517,85000,52981.426
12988,6499,11217.396
25507,128000,49142.867
41401,32750,43004.56
8663,20995,25799.242
21220,35707,19133.744
40532,36500,46570.035
41355,29999,30982.754
8532,24500,33300.918
35513,41500,35703.508
20809,94999,58723.414
10654,4900,15840.187
17164,62479,80708.77
9793,40999,55890.023
30463,10000,17475.361
1652,37405,39460.836
12111,30510,31750.67
17498,8995,16150.386
50634,55000,56680.914
29760,24350,15392.818
1452,55000,37715.152
40662,26950,41900.562
9621,9995,49044.23
48003,19800,43189.223
38572,23000,29342.79
18275,23600,46162.855
2303,14500,20234.533
30502,53000,40545.16
50998,145000,84136.29
46683,36499,46540.047
11263,46500,52507.797
28069,22500,20316.299
22553,54900,44542.863
33595,60000,64570.73
32192,33000,37450.37
9821,26999,34407.723
20890,23950,38404.7
8187,51750,36692.12
18645,3000,21543.201
38977,16000,21542.268
48006,8400,7677.6997
19001,98000,70200.664
12929,71999,65469.066
21290,75000,60700.562
45029,60000,30666.082
20798,34500,35688.438
36635,67250,50380.44
30053,32000,35624.98
9338,42000,35373.355
7113,84620,78138.27
46331,23500,32562.414
43467,11000,23335.45
917,10500,15511.151
33365,17000,54201.58
37958,15499,11490.797
46451,19500,20884.5
49599,18500,12248.06
45947,48000,12620.129
21862,25500,34757.12
53807,6000,11347.615
45788,31000,48922.574
13977,16000,27283.602
42031,12000,15088.032
20090,36000,49391.88
31792,69000,61287.69
19546,44800,69677.484
13053,10500,14584.334
28357,21000,26383.748
553,36969,40385.285
17877,75950,68101.11
19587,50000,46551.355
20542,39999,49224.594
11858,27500,24927.877
27067,62479,74698.8
25430,40000,46016.297
22335,30000,20443.707
42104,6000,10559.919
22166,107900,63773.027
18648,220000,25799.764
44314,19550,16031.408
18344,7500,12909.112
36151,18998,22562.256
6027,5699,14112.303
49354,12000,26342.535
25875,76400,56234.863
52175,5500,8128.406
32885,29000,15300.652
15349,26500,42448.94
44788,9888,48308.7
27368,128000,45057.785
47117,9998,14770.507
3393,14000,49429.54
16314,17000,28392.635
23749,129000,67851.05
5892,26990,24687.34
14469,12000,9096.552
53795,31999,19548.195
46909,6700,11042.616
3871,65000,68580.16
6707,52900,83510.26
17782,36500,26061.432
53467,11999,13395.85
1255,38000,38749.58
7672,16900,12891.129
16585,46000,76048.72
8929,17000,40836.703
49684,9499,16472.166
34232,13900,14981.693
27586,26500,21637.363
728,24950,35515.297
21193,8900,20926.492
52910,34500,57082.676
5852,17800,22291.959
2828,29000,24400.123
54068,25500,37818.04
8837,22945,29369.771
2595,14500,10042.329
43443,10750,17396.389
39713,38490,37251.41
47108,9500,11464.177
46361,34000,35787.312
30164,4500,10375.4
48612,55000,78772.76
16223,43000,30815.092
28411,53000,70265.25
47938,16500,29896.629
29031,175000,41245.75
